playerId,CPEV,num_regains,total_minutes,CPEV_per90,playerName
40806,1.4153990204513407,54,1170.7761108833333,0.10880467294853656,Felipe Anderson Pereira Gomes
20689,2.617590043636946,103,2183.1948461833335,0.10790750277702978,Gast\u00f3n Exequiel Ram\u00edrez Pereyra
40726,3.2524848472205354,150,2845.2960608666667,0.10287985151207274,Allan Marques Loureiro
265865,3.0948171599563397,119,2888.0214108,0.09644441809000129,Sergej Milinkovi\u0107-Savi\u0107
20404,2.574073816651778,112,2832.1273446166665,0.08179951510267153,Bryan Cristante
447804,2.6148527036149187,125,2999.43392155,0.07846038601968237,Federico Chiesa
50073,2.195093597250892,108,2618.544698516667,0.07544588559610674,Artur Ioni\u0163\u0103
14812,2.770669355751624,118,3341.0178940333335,0.07463600912254147,Ivan Peri\u0161i\u0107
20749,2.3618301497791383,136,2898.1017143333333,0.07334618810265599,Andrea Bertolacci
22323,1.0254031662534768,63,1259.3139266666667,0.07328298608361264,Ledian Memushaj
86301,1.6160491285654985,92,1986.996491,0.0731981270373038,Lucas Nahuel Castro
3484,2.1580239618461126,97,2654.68129115,0.07316213709481248,Luis Alberto Romero Alconchel
116349,1.7560085996726866,87,2172.6870848,0.07273977696843066,Mat\u00edas Vecino Falero
265172,2.1410844343650655,120,2726.11505655,0.07068579098665112,Anton\u00edn Bar\u00e1k
20938,1.067939325044478,82,1366.5535577833334,0.07033353263512702,Valon Behrami
22383,1.4914657728771168,71,1928.2277654833333,0.06961414100646646,Joseph Alfred Duncan
241676,1.5663613197511705,89,2026.87643955,0.06955160957364702,Roberto Gagliardini
22381,1.370967358907229,73,1779.4319393333333,0.0693407033864289,Daniel Bessa
134435,1.626944984038713,85,2224.583773016667,0.06582132367392178,Alberto Grassi
7965,2.101575029452647,134,2882.855859383333,0.06560916045632514,Lucas Pezzini Leiva
99902,1.2026776877224659,56,1662.5046231166666,0.06510718249438882,Piotr Zieli\u0144ski
20815,2.1581498687500162,167,2988.96216885,0.06498358868899053,Andrea Barberis
21350,1.8831629699686592,84,2629.8491108333333,0.06444653672296578,Marco Parolo
286223,2.130084324322665,151,3004.502709016667,0.0638067619688661,Nicol\u00f2 Barella
49991,2.1361369856569032,139,3069.9930614833333,0.06262304990885889,Remo Freuler
333571,2.232423622276103,140,3227.5872141833333,0.062250254655221444,Lucas Torreira Di Pascua
328333,1.2085803240154358,60,1779.3323085333334,0.061130924583192615,Lorenzo Pellegrini
285109,2.2017016750296188,126,3306.3743362166665,0.0599306462617307,Franck Yannick Kessi\u00e9
20845,1.6013851622489215,68,2512.4865122166666,0.05736335853013097,Giacomo Bonaventura
138174,1.3670598510709022,83,2160.6390979333332,0.05694397861913423,Karol Linetty
116269,1.690610046708036,110,2806.4200897666665,0.05421672427393927,Diego Sebasti\u00e1n Laxalt Su\u00e1rez
220359,1.4844785570968984,104,2509.942473583333,0.053229534758213674,Paolo Pancrazio Farag\u00f2
21315,1.5512155190103225,104,2625.5651803,0.0531730835549004,Jorge Luiz Frello Filho
20561,1.4165201135685612,118,2404.4858212833333,0.053020404234751385,Senad Luli\u0107
69968,1.1421714669553436,69,1947.5476125833334,0.05278198661835407,Marcelo Brozovi\u0107
3543,1.476425172946797,80,2537.0460160166667,0.05237518938416401,Borja Valero Iglesias
20879,1.5175717854702087,94,2620.59663615,0.05211845989887816,Radja Nainggolan
21291,1.4530565672487283,73,2518.98639685,0.0519157591386441,Valter Birsa
21507,1.424690647135211,92,2501.5926638166666,0.05125620973261935,Daniele Baselli
20414,0.8896816388747851,63,1567.54541165,0.05108071951449718,Mattia Valoti
37732,1.1632874506851945,78,2075.0564380666665,0.05045446891999372,Lucas Rodrigo Biglia
625,1.4520036472744722,108,2603.5427085166666,0.050193272354328244,Marten de Roon
25541,1.720063788182692,140,3253.3909815833335,0.047582888688374826,Jordan Veretout
22163,1.5553811022418218,91,2955.1318797666668,0.0473698991778387,Simone Missiroli
25437,1.2456871749716063,80,2371.741867083333,0.047269834590100195,Blaise Matuidi
292310,0.5177558450861368,55,1006.0735388333333,0.046316719662251024,Luca Mazzitelli
22099,0.8748699901980909,65,1700.15878195,0.04631232091600242,Marcel B\u00fcchel
69400,1.2233907979849932,98,2377.975292233333,0.04630206721586306,Milan Badelj
134508,0.9573253000401897,50,1862.00319995,0.04627235710761973,Seko Fofana
21171,1.1926125086019987,67,2336.21815945,0.045943965181509026,Marek Ham\u0161\u00edk
22380,1.408418445429466,82,2759.550509,0.04593416923344741,Marco Benassi
14903,1.517437690342084,126,2978.6181330166664,0.04584991631420496,Tom\u00e1s Eduardo Rinc\u00f3n Hern\u00e1ndez
213948,1.158591875910243,63,2322.9445378833334,0.04488840225472437,Rodrigo Javier de Paul
114,1.1185861203899963,75,2269.156119083333,0.04436572256463704,Kevin Strootman
302799,1.5764020986532161,124,3244.0363038,0.043734463980134405,Rolando Mandragora
278813,0.6279176197438958,52,1313.4498250166666,0.04302607126711789,Samuel Bastien
20443,1.168239691646026,71,2501.163049866667,0.04203707241467016,Miralem Pjani\u0107
86309,0.5718705076588277,61,1235.62930755,0.04165354882310593,Bruno Zuculini
20816,0.8841878765745896,75,1960.1033147833334,0.04059832371668091,\u00c9dgar Osvaldo Barreto C\u00e1ceres
22162,1.1273234168768167,100,2515.7196531333334,0.040330053228524884,Francesco Magnanelli
15524,0.9796431785190399,54,2187.0833534,0.04031299764119617,Hakan \u00c7alhano\u011flu
20448,1.1187304845170674,92,2520.08359395,0.03995333482121535,Federico Viviani
20653,1.0748782454294088,103,2426.63623225,0.03986548985092399,Perparim Hetemaj
20529,1.099126726487904,98,2503.7610114833333,0.03950912444527051,Andrea Poli
51151,0.6892899682268873,70,1576.7650348333334,0.039343907157972445,Marcus Christer Rohd\u00e9n
21620,0.9090490064116248,72,2110.9187478833333,0.0387577260655264,Jasmin Kurti\u010d
21288,0.7180026144160625,66,1728.0888255333334,0.037394047309751065,Miguel Lu\u00eds Pinto Veloso
228928,1.0284832752403064,55,2497.594913366667,0.03706105192489176,Adam Maru\u0161i\u0107
354547,1.0809351311779936,65,2660.597269616667,0.036564782997028304,Jakub Jankto
256478,0.9150477354026524,60,2282.7863161166665,0.036076217736548684,Danilo Cataldi
90268,1.115748558228319,94,2823.6570585333334,0.035562877558759774,Erick Antonio Pulgar Farf\u00e1n
20935,1.2130908074309834,98,3160.726538566667,0.034542112813814904,R\u00f4mulo Souza Orestes Caldeira
37739,0.9792836165873882,65,2620.3783868166665,0.03363465594750813,Dennis Praet
20850,0.7661174015197951,63,2062.6172263666667,0.03342867753424084,Luca Cigarini
22566,0.8759569272420459,66,2403.126377716667,0.03280565024911023,Alessandro Florenzi
20472,0.9301010870411784,69,3017.0884231,0.027744993216902998,Simone Padoin
20588,0.4812456769567452,53,1596.5463732333333,0.02712862692387142,Kwadwo Asamoah
20911,0.5881061701700913,59,1987.4828597333333,0.02663145247069448,Pasquale Schiattarella
22695,0.5313691639283269,50,1885.3558904333333,0.025365621947672518,Benito Nicolas Viola
226200,0.782301797122114,79,3127.5361691166668,0.022512021583071213,Manuel Lazzari
21564,0.7895995956021672,77,3208.4455253833335,0.022149032309253427,Ivan Radovanovi\u0107
